Iteration ,Eigenvalue, Calculation Time
0,-76.1041458254,1.041997
1,-76.1269505843,3.572193
2,-76.1525460631,11.079447
3,-76.1935092287,74.355127
4,-76.2181747031,455.515392
5,-76.2426129313,1322.971272
6,-76.2471339307,2116.389787
7,-76.2488639553,2855.763223
8,-76.2499511604,3550.457247
9,-76.2505624578,4194.602411
10,-76.250796127,4819.558247
11,-76.2509457488,5405.500411
12,-76.2510085753,5979.403261
13,-76.251076454,6547.658811
14,-76.251180869,7114.617003
15,-76.2512384823,7674.434639
16,-76.251247309,8216.648329
17,-76.2512492873,8750.829636
18,-76.2512504299,9285.04801
19,-76.2512512007,9818.382544
