Iteration ,Eigenvalue, Calculation Time
0,-109.078797436,134.616592
1,-109.101478206,400.095989
2,-109.152892994,1178.03111
3,-109.19296043,2435.098147
4,-109.20319213,3621.705162
5,-109.206975661,4720.029133
6,-109.208864051,5773.848293
7,-109.21013886,6811.623133
8,-109.211165586,7851.92144
9,-109.21198893,8903.313592
10,-109.212600795,9934.228711
11,-109.213026483,10940.072832
12,-109.2133369,11927.671257
13,-109.213606211,12887.531007
14,-109.213856774,13823.007478
15,-109.214078019,14732.823852
16,-109.214263437,15641.75342
17,-109.214417201,16549.179143
18,-109.214554023,17439.846161
19,-109.214705424,18332.140494
20,-109.214901579,19201.100398
21,-109.215109495,20068.271656
22,-109.215255933,20939.613901
23,-109.215354202,21809.086996
24,-109.215438088,22694.358764
25,-109.215526327,23584.571413
26,-109.215630269,24476.621042
27,-109.215752405,25372.695976
28,-109.215877516,26270.55907
29,-109.215986273,27178.825815
