Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-109.03674986,0.000382600489865,43.425195,33.2860667306
1,-109.041952255,0.00315429886038,128.463741,14.8462901298
2,-109.048215224,0.00550085455372,277.91701,3.5
3,-109.068897052,0.0105100315399,690.189207,3.5
4,-109.098835842,0.0131946185398,1378.403204,3.5
5,-109.129987994,0.0130184019181,2079.015855,3.5
6,-109.157409313,0.012122565312,2786.576873,3.5
7,-109.181606679,0.0110690961802,3498.63709,3.5
8,-109.20199589,0.0100807153817,4206.932135,3.5
9,-109.218325966,0.00897065201498,4917.275331,3.5
10,-109.230394564,0.00767425722188,5628.427016,3.5
11,-109.239118656,0.00655525468412,6336.941583,3.5
12,-109.245381281,0.00573571344007,7046.82901,3.5
13,-109.250009574,0.00537604887638,7755.611279,3.5
14,-109.253780785,0.00524231286685,8464.423199,3.5
15,-109.256790965,0.00484635625755,9172.014831,3.5
16,-109.259116878,0.00426020910831,9880.247466,3.5
17,-109.260853518,0.00367453793473,10587.41127,3.5
18,-109.262223185,0.00322776454491,11295.084605,3.5
19,-109.263316056,0.00287251458513,12005.033493,3.5
20,-109.264238167,0.00260973802493,12713.083056,3.5
21,-109.264996918,0.00237636570013,13422.630053,3.5
22,-109.265661225,0.00220416466338,14134.982048,3.5
23,-109.266214985,0.00204618030416,14842.149437,3.5
24,-109.266711952,0.00190555992089,15549.471665,3.5
25,-109.267136812,0.00178087389038,16256.330518,3.5
26,-109.267516206,0.00166151419622,16963.76238,3.5
27,-109.26785213,0.00157179674706,17670.448817,3.5
28,-109.268158075,0.00148234439521,18377.187609,3.5
29,-109.268436419,0.00141547016165,19088.508849,3.5
