Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-108.974205039,5.06593412241e-05,19.758819,106.250292059
1,-108.9742251,0.000143354040108,39.265139,28.9639107393
2,-108.975123912,0.0018981222297,53.558733,4
3,-108.980643742,0.00477762058995,77.333988,4
4,-108.994422602,0.00753277938167,124.760229,4
5,-109.012959685,0.00879777782581,226.783843,4
6,-109.035042887,0.00970759306679,426.508772,4
7,-109.058565579,0.0101121990977,677.582347,4
8,-109.080113865,0.00975411473305,930.244949,4
9,-109.097920269,0.00879885531956,1186.276074,4
10,-109.112837377,0.00806010072,1448.25849,4
11,-109.125635828,0.00751425791261,1714.460641,4
12,-109.1366384,0.00702547950712,1992.773769,4
13,-109.145964872,0.00651866793927,2280.951979,4
14,-109.153899155,0.00603778975402,2572.028907,4
15,-109.159819935,0.00521938377355,2861.63923,4
16,-109.164092829,0.00436695338259,3155.178154,4
17,-109.16736395,0.00375193107865,3449.407711,4
18,-109.169903009,0.00326672046684,3745.781278,4
19,-109.171877467,0.00285391488941,4038.941494,4
20,-109.173435003,0.00251699626276,4332.97729,4
21,-109.174677069,0.0022369419392,4626.88052,4
22,-109.175691338,0.00202005092014,4920.919005,4
23,-109.176544175,0.00187175954519,5214.875346,4
24,-109.177276908,0.00179576711479,5508.662105,4
